,DateTime,open,high,low,close,volume,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,WMA_10,SMA_14,WMA_28,SMA_44,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2022-11-04 09:15,7121.6,7192.65,7121.6,7191.0,134427,0.0,1,,,,,,,,,,0.02,0
1,2022-11-04 09:30,7191.0,7221.0,7191.0,7200.0,109590,,1,,,,,,,,6593.0,,0.04,0
2,2022-11-04 09:45,7196.1,7209.9,7184.05,7196.45,38163,,1,,,,,,,,6618.12,,0.04,0
3,2022-11-04 10:00,7196.45,7224.9,7195.0,7202.5,42806,,1,,,,,,,,6642.2352,,0.06,0
4,2022-11-04 10:15,7205.0,7205.0,7166.1,7172.0,39409,,1,,,7192.389999999999,,,,,6677.195088,,0.06,0
5,2022-11-04 10:30,7172.4,7183.9,7157.9,7159.85,30356,,1,,,7186.159999999999,,,,,6710.0573827200005,,0.06,0
6,2022-11-04 10:45,7158.0,7167.75,7153.0,7157.55,22997,,1,,,7177.67,,,,,6740.9479397568,,0.06,0
7,2022-11-04 11:00,7157.55,7172.55,7152.0,7172.5,17568,7135.710714285714,1,7135.710714285714,,7172.879999999999,,,,,6769.985063371392,,0.06,0
8,2022-11-04 11:15,7172.55,7184.85,7166.0,7173.6,36050,7149.962755102041,1,7149.962755102041,,7167.0999999999985,,,,,6797.2799595691085,,0.06,0
9,2022-11-04 11:30,7174.9,7177.5,7162.2,7164.9,12907,7149.962755102041,1,7149.962755102041,,7165.6799999999985,7172.794545454546,,,,6822.937161994962,,0.06,0
10,2022-11-04 11:45,7164.9,7170.0,7156.15,7159.7,15198,7149.962755102041,1,7149.962755102041,,7165.649999999999,7169.279090909092,,,,6847.054932275264,,0.06,0
11,2022-11-04 12:00,7159.7,7178.0,7156.0,7176.0,15746,7149.962755102041,1,7149.962755102041,,7169.339999999999,7169.296363636365,,,,6869.725636338748,,0.06,0
12,2022-11-04 12:15,7176.0,7187.95,7171.0,7174.95,19294,7157.785737447833,1,7157.785737447833,,7169.829999999999,7169.5590909090915,,,,6891.036098158423,,0.06,0
13,2022-11-04 12:30,7174.95,7185.0,7170.0,7173.5,17951,7157.785737447833,1,7157.785737447833,,7169.8099999999995,7169.949090909092,7176.749999999999,,,6911.0679322689175,,0.06,0
